id,age,city
1,1,Longshan
2,2,Bibrka
3,3,Périgny
4,4,Pecatu
5,5,Nārāyanganj
6,6,Semarapura
7,7,Karangduren Dua
8,8,Shiniujiang
9,9,Daugavpils
10,10,Balneário Camboriú
11,11,Bukuru
12,12,Furong
13,13,Taverny
14,14,Batutua
15,15,Druzhny
16,16,Pavlovskaya
17,17,Urzhar
18,18,Kota Bharu
19,19,Cerna
20,20,Rakhmanovo
21,21,Ptghunk’
22,22,Zagora
23,23,Pedro Carbo
24,24,McKinley
25,25,Krrabë
26,26,Pilot Butte
27,27,Vila Viçosa
28,28,Cova da Iria
29,29,Kliteh
30,30,Sidikalang
31,31,Błażowa
32,32,Businovo
33,33,Zhongxing
34,34,Dongqu
35,35,Bayt Sīrā
36,36,Kłomnice
37,37,Koundara
38,38,Chatou
39,39,Vale de Açores
40,40,Jindayris
41,41,Posadas
42,42,Adtugan
43,43,Sa Bot
44,44,Tampa
45,45,Jetafe
46,46,Janūb as Surrah
47,47,Tucson
48,48,Lilin Satu
49,49,KwaMbonambi
50,50,Jinguoping
51,51,Tongjiaxi
52,52,Yanliang
53,53,Marseille
54,54,Huaitu
55,55,Kamyanyets
56,56,Ciudad Cortés
57,57,Arbeláez
58,58,La Cuesta
59,59,Jand
60,60,Stenungsund
61,61,Henghe
62,62,San Ramón
63,63,Yangwei
64,64,Stung Treng
65,65,Santa María de Ipire
66,66,Toulouse
67,67,Liure
68,68,Mainang
69,69,Krajan Dua Dawuan Wetan
70,70,Atafu Village
71,71,Guofu
72,72,Jongorsari
73,73,Balingasag
74,74,Houk
75,75,Panjāb
76,76,Kopparberg
77,77,Paldiski
78,78,Jackson
79,79,Pedreira
80,80,Pacapausa
81,81,Zizhao
82,82,Ngajum
83,83,Tanggulangin
84,84,Osekovo
85,85,Bom Jesus dos Perdões
86,86,Sexiong
87,87,Mesyagutovo
88,88,Āsasa
89,89,Putrajaya
90,90,Tibro
91,91,Wojaszówka
92,92,Onomichi
93,93,El Matama
94,94,Iradan
95,95,Tubuhue
96,96,Zborovice
97,97,Ernestinovo
98,98,Genang
99,99,Sanshui
100,100,Stara Kiszewa
